"","Year","month","temp","cloud_cover","vapor_pressure","precip","tmin","tmax","ET","evap_day","evap","wd","sat_vp","RH"
"154",1995,10,27.975,63.02501,2.715,64.825,22.3,33.7,4.45,3.65195765636613,113.21068734735,48.3856873473499,3.86614636454183,70.2249667757146
"155",1995,11,27.75,63.22501,2.7275,205.625,22.625,32.925,4.424999,3.58028002240586,107.408400672176,0,3.81443214500517,71.5047455640688
"156",1995,12,26.95,71.85,2.815,151.45,22.3,31.65,3.85,2.71831279929518,84.2676967781506,0,3.63550349492227,77.4308153996202
"157",1996,1,27.075,74.975,2.7875,467.15,22.575,31.65,3.85,2.49411759549526,77.3176454603532,0,3.66295939002137,76.0996697804978
"158",1996,2,26.775,77.575,2.8275,183.45,22.275,31.325,3.525,2.22568522372898,62.3191862644114,0,3.59737273300979,78.5990279532233
"159",1996,3,26.25,74.925,2.8075,221.5,21.575,30.975,3.35,2.38885909252929,74.054631868408,0,3.48510555638206,80.557100913595
"160",1996,4,26.575,72.125,2.68,179.375,21.65,31.55,3.3,2.72921205079061,81.8763615237182,0,3.55423060164873,75.4030984584064
"161",1996,5,25.7,64.9,2.5225,42.95,20.4,31.075,3.1,3.29312440016496,102.086856405114,59.1368564051136,3.37084555633763,74.83285596569
"162",1996,6,23.825,67.05,2.225,9.900005,18.075,29.625,2.775,3.06466921582933,91.94007647488,82.04007147488,3.00595282697884,74.0197909970614
"163",1996,7,24.125,38.35,2.1775,8.799995,17.65,30.675,3.55,5.39737964297728,167.318768932296,158.518773932296,3.06186057384335,71.1168894691613
"164",1996,8,25.375,51.125,2.29,54.42501,18.65,32.15,3.95,4.52831090061189,140.377637918968,85.9526279189685,3.30490622522748,69.2909221605032
"165",1996,9,24.725,61.6,2.2275,92.025,18.4,31.15,4,3.63269067583066,108.98072027492,16.9557202749197,3.17646115028404,70.1252083565013
"166",1996,10,27.25,71.42501,2.675,149.05,21.6,32.9,4.025,2.89148548376164,89.6360499966108,0,3.70170740416279,72.2639503325358
"167",1996,11,26.45,68.52501,2.7125,208.2,21.375,31.575,3.975,2.98932290438642,89.6796871315925,0,3.52750104679873,76.895795749278
"168",1996,12,26.55,76.25001,2.7775,233.65,21.875,31.25,3.65,2.33426384588025,72.3621792222878,0,3.54887032397685,78.2643417888412
"169",1997,1,26.4,76.65001,2.8,297.65,21.85,31,3.625,2.27018806970715,70.3758301609216,0,3.51685939123748,79.6164898425114
"170",1997,2,26.475,81.22501,2.79,368.35,21.975,31,3.4,1.91598806251078,53.6476657503018,0,3.53283260780448,78.9734558562591
"171",1997,3,26.525,89.4,2.82,364.975,21.9,31.225,2.95,1.25889148220188,39.0256359482581,0,3.54351723802879,79.5819467092172
"172",1997,4,26.225,70.55,2.6225,173.05,21.275,31.2,3.3,2.84092014522293,85.2276043566878,0,3.47983812004367,75.3627010663097
"173",1997,5,26.75,66.45,2.4925,93.00001,21.45,32.125,3.325,3.32041531510263,102.932874768182,9.93286476818159,3.59195461899708,69.3911884860043
"174",1997,6,25.475,41.025,2.33,40.15001,19.7,31.25,3.475,5.27019447025249,158.105834107575,117.955824107575,3.32507191003143,70.0736724812059
"175",1997,7,25.1,37.65,2.2275,35.5,18.65,31.625,3.75,5.57751522757091,172.902972054698,137.402972054698,3.25001061026615,68.5382377818632
