Pv_tag,Tag,T1,T2,X,Y,Family,Species,DBH0,DBH1,F2,Plot,SpecimenID,*Accession Numbers,*Barcodes,CollectorString,CollectionNumber,*FullName,UpperName,LowerName,Locality,ElevationDisplay,*Coordinate Display,LatitudeDecimal,LongitudeDecimal,Date Display,*Institutions,DeterminationYear,DeterminationBy,Description,plot.genus,spec.genus
1038,41,2,NA,20,26.25,Annonaceae,Guatteria alutacea,360,360,1,TAM_02,751453,3469035,MO-1978164,"Alwyn H. Gentry, Percy Núñez V. & Nestor Jaramillo",58059,Guatteria duodecima Maas & Westra,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Lateritic Tree Plot No. 1,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549590400,MO,2015,"P. J. M. Maas & L. Y. Th. Westra (L),","Tree No. 1038, 26.7 cm dbh, sterile.",Guatteria,Guatteria
1379,513,20,NA,80.95,12.85,Elaeocarpaceae,Sloanea terniflora,222,222,1,TAM_02,179288,3467882,MO-1447639,"Alwyn H. Gentry, Percy Núñez V. & Nestor Jaramillo",58135,Sloanea L.,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Lateritic Tree Plot No. 1,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549676800,MO,NA,NA,"Tree No. 1379, 15.4 cm dbh, sterile.",Sloanea,Sloanea
1371,518,20,NA,75.8,7.5,Elaeocarpaceae,Sloanea terniflora,152,152,1,TAM_02,179295,3467881,MO-1817830,"Alwyn H. Gentry, Percy Núñez V. & Nestor Jaramillo",58137,Sloanea L.,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Lateritic Tree Plot No. 1,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549676800,MO,NA,NA,"Tree No. 1371, 12.3 cm dbh, narrow buttresses.",Sloanea,Sloanea
1376,521,20,NA,72,11.8,Fabaceae,Copaifera reticulata,420,420,1,TAM_02,98793,3470549,MO-1711835,"Alwyn H. Gentry, Percy Núñez V. & Nestor Jaramillo",58141,Copaifera reticulata Ducke,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Lateritic Tree Plot No. 1,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549676800,MO,1993,"C. Reynel (MO),","Tree No. 1376, 24 cm dbh.",Copaifera,Copaifera
1377,525,20,NA,66.9,13.15,Fabaceae,Diplotropis purpurea,402,402,1,TAM_02,106879,3470556,MO-1682212,"Alwyn H. Gentry, Percy Núñez V. & Nestor Jaramillo",58144,Diplotropis purpurea (Rich.) Amshoff,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Lateritic Tree Plot No. 1,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549676800,MO,1987,"Al Gentry,","Tree No. 1377, 24 cm dbh, sterile.",Diplotropis,Diplotropis
1468,537,21,NA,81.6,8.2,Moraceae,Brosimum lactescens,286,286,1,TAM_02,709311,3469241,MO-1414579,"Alwyn H. Gentry, Percy Núñez V. & Nestor Jaramillo",58150,Brosimum alicastrum Sw.,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Lateritic Tree Plot No. 1,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549676800,MO,NA,NA,"Tree No. 1468, 26.7 cm dbh, sterile.",Brosimum,Brosimum
1469,538,21,NA,84.4,8.1,Lecythidaceae,Eschweilera coriacea,209,209,1,TAM_02,300304,3468990,MO-1633815,"Alwyn H. Gentry, Percy Núñez V. & Nestor Jaramillo",58149,Eschweilera coriacea (DC.) S.A. Mori,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Lateritic Tree Plot No. 1,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549676800,MO,1993,"A. Graff (MO),","Tree No. 1469, 15.7 cm dbh, sterile.",Eschweilera,Eschweilera
1487,540,21,NA,85.5,9.4,Annonaceae,Duguetia spixiana,164,164,1,TAM_02,750422,3469036,MO-1943680,"Alwyn H. Gentry, Percy Núñez V. & Nestor Jaramillo",58148,Duguetia spixiana Mart.,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Lateritic Tree Plot No. 1,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549676800,MO,1987,"Al Gentry,","Tree No. 1487, 12.3 cm dbh, sterile.",Duguetia,Duguetia
1496,565,22,NA,95.5,23,Salicaceae,Laetia suaveolens,519,519,1,TAM_02,256839,3468970,MO-1540292,"Alwyn H. Gentry, Percy Núñez V. & Nestor Jaramillo",58146,Laetia procera (Poepp.) Eichler,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Lateritic Tree Plot No. 1,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549676800,MO,1996,"R.L. Liesner (MO),","Tree No. 1496, 40.6 cm dbh, sterile.",Laetia,Laetia
1523,588,23,NA,82.45,45.2,Lauraceae,Pleurothyrium vasquezii,126,126,1,TAM_02,55115,3470778,MO-287110,"Alwyn H. Gentry, Percy Núñez V. & Nestor Jaramillo",58103,Pleurothyrium cf. vasquezii van der Werff,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Lateritic Tree Plot No. 1,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549676800,MO,1992,"Henk van der Werff (MO),","Tree No. 1523, 11.6 cm dbh, sterile.",Pleurothyrium,Pleurothyrium
1519,593,23,NA,90.8,47.2,Meliaceae,Cedrela fissilis,425,425,1,TAM_02,127331,3520044 & 3474257,MO-1113242 & MO-1113278,"Alwyn H. Gentry, Percy Núñez V. & Nestor Jaramillo",58097,Cedrela fissilis Vell.,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Lateritic Tree Plot No. 1,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549676800,MO,1987,"R.E. Gereau,","Tree No. 1519, 26.2 cm dbh, sterile, garlic-like odor, bark smoothish with borad shallow ridges.",Cedrela,Cedrela
1518,594,23,NA,90.9,48.7,Rubiaceae,Warszewiczia coccinea,244,244,1,TAM_02,523690,3516734,MO-1845400,"Alwyn H. Gentry, Percy Núñez V. & Nestor Jaramillo",58098,Warszewiczia coccinea (Vahl) Klotzsch,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Lateritic Tree Plot No. 1,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549676800,MO,1987,"J. Dwyer,","Tree No. 1518, 17.6 cm dbh, fruits brownish.",Warszewiczia,Warszewiczia
1514,598,23,NA,98,45.4,Fabaceae,Swartzia dipetala,229,229,1,TAM_02,106497,3466402 & 4256698,MO-1682211 & MO-1723155,"Alwyn H. Gentry, Percy Núñez V. & Nestor Jaramillo",58100,Swartzia cf. jorori Harms,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Lateritic Tree Plot No. 1,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549676800,MO,2007,"B.M.Torke (PH),","Tree No. 1514, 22.4 cm dbh, sterile.",Swartzia,Swartzia
1536,613,23,NA,80,57.9,Calophyllaceae,Caraipa myrcioides,229,229,1,TAM_02,202007,NA,NA,"Alwyn H. Gentry, Percy Núñez V. & Nestor Jaramillo",58108,Caraipa cf. myrcioides Ducke,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Lateritic Tree Plot No. 1,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549676800,MO,1992,"R. Vasquez (AMAZ),","Tree No. 1536, 17.4 cm dbh, sterile.",Caraipa,Caraipa
1538,617,24,NA,84.45,60.15,Lauraceae,Aniba taubertiana,0,0,1,TAM_02,50144,3519032,MO-252161,"Alwyn H. Gentry, Percy Núñez V. & Nestor Jaramillo",58101,Aniba cf. taubertiana Mez,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Lateritic Tree Plot No. 1,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549676800,MO,1987,"Henk van der Werff,","Tree No. 1538, 15 cm dbh, sterile, aromatic.",Aniba,Aniba
1188,210,8,NA,27.2,49.15,Fabaceae,Pithecellobium corymbosum,486,486,1,TAM_02,106207,3470551,MO-1202239,"Alwyn H. Gentry, Percy Núñez V. & Nestor Jaramillo",58073,Pithecellobium corymbosum (Rich.) Benth.,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Lateritic Tree Plot No. 1,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549590400,MO,1987,"Al Gentry,","Tree No. 1188, 29.9 cm dbh, sterile.",Pithecellobium,Pithecellobium
1160,235,9,NA,22.75,31.8,Fabaceae,Inga splendens,308,308,1,TAM_02,105866,3470542,MO-1215100,Alwyn H. Gentry & Nestor Jaramillo,58044,Inga splendens Willd.,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Lateritic Tree Plot No. 1,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549504000,MO,1992,"R.E. Gereau (MO),","Tree No. 1160, 14.3 cm dbh, sterile.",Inga,Inga
1157,237,9,NA,22.05,23.1,Salicaceae,Casearia javitensis,184,184,1,TAM_02,256721,3468983,MO-1543066,Alwyn H. Gentry & Nestor Jaramillo,58046,Casearia javitensis Kunth,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Lateritic Tree Plot No. 1,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549504000,MO,1987,"R.E. Gereau,","Tree No. 1157, 14.7 cm dbh, sterile.",Casearia,Casearia
1156,240,9,NA,28,29.9,Malvaceae,Pachira insignis,241,241,1,TAM_02,190615,3524263,MO-1482003,Alwyn H. Gentry & Nestor Jaramillo,58028,Pachira insignis (Sw.) Sw. ex Savigny,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Lateritic Tree Plot No. 1,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549504000,MO,1989,"A. Gentry,","Tree No. 1156, 19.8 cm dbh, sterile.",Pachira,Pachira
1152,243,9,NA,38.45,27,Sapotaceae,Pouteria cladantha,308,308,1,TAM_02,407912,3470803,MO-1981415,Alwyn H. Gentry & Nestor Jaramillo,58026,Pouteria Aubl.,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Lateritic Tree Plot No. 1,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549504000,MO,NA,NA,"Tree No. 1152, 24.7 cm dbh, sterile.",Pouteria,Pouteria
1150,245,9,NA,39.25,24.9,Moraceae,Pseudolmedia rigida,256,256,1,TAM_02,708649,3470914,MO-1492328,Alwyn H. Gentry & Nestor Jaramillo,58020,Pseudolmedia rigida (Klotzsch & H. Karst.) Cuatrec.,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Lateritic Tree Plot No. 1,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549504000,MO,1987,"A. Gentry,","Tree No. 1150, 16.8 cm dbh, sterile.",Pseudolmedia,Pseudolmedia
1148,247,9,NA,39.25,23.7,Sapotaceae,Pouteria bangii,345,345,1,TAM_02,407905,3470806,MO-1965904,Alwyn H. Gentry & Nestor Jaramillo,58023,Pouteria Aubl.,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Lateritic Tree Plot No. 1,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549504000,MO,NA,NA,"Tree No. 1148, 31.7 cm dbh, sterile, latex.",Pouteria,Pouteria
2393,425,7,D,NA,NA,Euphorbiaceae,Alchornea glandulosa,183,183,1,TAM_03,144841,3468975,MO-1266086,Alwyn H. Gentry & Nestor Jaramillo,57977,Alchornea glandulosa Poepp.,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549417600,MO,1991,"Ronald L. Liesner (MO),","Tree No. 2393, 14 cm dbh, sterile.",Alchornea,Alchornea
2455,457,8,D,NA,NA,Fabaceae,Crudia glaberrima,295,295,1,TAM_03,107063,3300641,MO-1783580,"Alwyn H. Gentry, Camilo Díaz S. & Nestor Jaramillo",51555,Crudia glaberrima (Steud.) J.F. Macbr.,Madre de Dios,Tambopata,Explorer's Inn Tourist Camp at junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,270 m,12°49'S 069°43'W,-12.81666,-69.71666,491443200,MO,1986,"A.H. Gentry,",Tree #2455; buds green; young leaves.,Crudia,Crudia
2908,632,8,E,NA,NA,Moraceae,Maquira coriacea,301,301,1,TAM_03,708930,3313467,MO-1514953,"Alwyn H. Gentry, Camilo Díaz S. & Nestor Jaramillo",51475,Maquira coriacea (H. Karst.) C.C. Berg,Madre de Dios,Tambopata,Explorer's Inn Tourist Camp at junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,270 m,12°49'S 069°43'W,-12.81666,-69.71666,491356800,MO,1987,"C.C. Berg (ARBOHA),","Tree #2908, 10 cm dbh, sterile.",Maquira,Maquira
2221,151,NA,B,NA,NA,Putranjivaceae,Drypetes gentryi,215,215,1,TAM_04,109510,3305594,MO-2879569,"Alwyn H. Gentry, Camilo Díaz S. & Nestor Jaramillo",51487,Drypetes Vahl,Madre de Dios,Tambopata,Explorer's Inn Tourist Camp at junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,270 m,12°49'S 069°43'W,-12.81666,-69.71666,491356800,MO,2015,"Geoffrey A Levin (ILLS),","Tree #2221, 17 cm dbh, sterile.",Drypetes,Drypetes
2214,156,NA,B,NA,NA,Sapotaceae,Micropholis guyanensis,268,268,1,TAM_04,407864,3470800,MO-1966616,Alwyn H. Gentry & Nestor Jaramillo,57996,Micropholis guyanensis (A. DC.) Pierre,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549417600,MO,NA,NA,"Tree No. 2214, 23.7 cm dbh, buds tan, few flowers greenish, trunk smoothish, exceedingly finely ridged, base fluted, buttresses short and broad.",Micropholis,Micropholis
2215,157,NA,B,NA,NA,Fabaceae,Andira inermis,218,218,1,TAM_04,105511,3470545,MO-1281633,Alwyn H. Gentry & Nestor Jaramillo,58003,Andira surinamensis (Bondt) Splitg. ex Pulle,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549417600,MO,1994,"R.T. Pennington (FHO),","Tree No. 2215, 15.8 cm dbh, sterile.",Andira,Andira
2224,162,NA,B,NA,NA,Myristicaceae,Virola multinervia,202,202,1,TAM_04,762540,3305595,MO-2657550,"Alwyn H. Gentry, Camilo Díaz S. & Nestor Jaramillo",51486,Virola multinervia Ducke,Madre de Dios,Tambopata,Explorer's Inn Tourist Camp at junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,270 m,12°49'S 069°43'W,-12.81666,-69.71666,491356800,MO,1986,"A.H. Gentry,","Tree #2224, 12 cm dbh, sterile.",Virola,Virola
2145,172,NA,B,NA,NA,Malvaceae,Sterculia indet,181,181,1,TAM_04,194534,3584575,MO-1482584,Alwyn H. Gentry & Nestor Jaramillo,57957,Sterculia apeibophylla Ducke,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549417600,MO,1993,"A. Graff (MO),","Tree No. 2145, 14 cm dbh, sterile.",Sterculia,Sterculia
2208,179,NA,B,NA,NA,Arecaceae,Socratea exorrhiza,136,136,1,TAM_04,288820,3467829 & 3467830,MO-2144117 & MO-2144118,Alwyn H. Gentry & Nestor Jaramillo,57999,Socratea exorrhiza (Mart.) H. Wendl.,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549417600,MO,1987,"A. Henderson (NY),","Tree No. 2208, ca. 12 cm dbh, open spiny stilt roots.",Socratea,Socratea
2202,183,NA,A,NA,NA,Burseraceae,Tetragastris altissima,173,173,1,TAM_04,123137,3466876,MO-1114738,Alwyn H. Gentry & Nestor Jaramillo,58009,Tetragastris cf. altissima (Aubl.) Swart,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549417600,MO,1993,"Reynel,","Tree No. 2202, 16.1 cm dbh, sterile.",Tetragastris,Tetragastris
2138,194,NA,B,NA,NA,Nyctaginaceae,Neea macrophylla,318,318,1,TAM_04,738885,3470834,MO-2062115,Alwyn H. Gentry & Nestor Jaramillo,57995,Neea floribunda Poepp. & Endl.,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549417600,MO,1990,"C. Reynel,","Tree No. 2138, 32 cm dbh, 30 m tall, sterile.",Neea,Neea
2137,195,NA,B,NA,NA,Lauraceae,Cinnamomum triplinerve,438,438,1,TAM_04,54764,3584591,MO-264515,Alwyn H. Gentry & Nestor Jaramillo,57976,Cinnamomum triplinerve (Ruiz & Pav.) Kosterm.,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549417600,MO,1997,"F.G. Lorea (XAL),","Tree No. 2137, 25 cm dbh, sterile.",Cinnamomum,Cinnamomum
2204,203,NA,B,NA,NA,Moraceae,Brosimum guianense,252,252,1,TAM_04,708580,3470915,MO-1409619,Alwyn H. Gentry & Nestor Jaramillo,58004,Brosimum guianense (Aubl.) Huber,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549417600,MO,1987,"A. Gentry,","Tree No. 2204, 14 cm dbh, sterile, too hairy for B. guianense.",Brosimum,Brosimum
2195,209,NA,B,NA,NA,Moraceae,Naucleopsis glabra,135,135,1,TAM_04,708624,3469238,MO-1493530,Alwyn H. Gentry & Nestor Jaramillo,58011,Naucleopsis concinna (Standl.) C.C. Berg,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549417600,MO,1997,"C.C. Berg (BG),","Tree No. 2195, 11.1 cm dbh, sterile.",Naucleopsis,Naucleopsis
2006,22,NA,A,NA,NA,Fabaceae,Hymenaea oblongifolia,234,234,1,TAM_04,106630,3313459,MO-1782143,"Alwyn H. Gentry, Camilo Díaz S. & Nestor Jaramillo",51507,Hymenaea oblongifolia Huber var. oblongifolia,Madre de Dios,Tambopata,Explorer's Inn Tourist Camp at junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,270 m,12°49'S 069°43'W,-12.81666,-69.71666,491356800,MO,1993,"A. Graff (MO),","Tree #2006, 18 cm dbh, sterile.",Hymenaea,Hymenaea
2131,224,NA,B,NA,NA,Nyctaginaceae,Neea indet,128,128,1,TAM_04,738855,NA,NA,Alwyn H. Gentry & Nestor Jaramillo,57971,Neea Ruiz & Pav.,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549417600,MO,NA,NA,"Tree No. 2131, 13 cm dhb, sterile, topless, almost leafless.",Neea,Neea
2307,236,NA,C,NA,NA,Moraceae,Pseudolmedia laevigata,235,235,1,TAM_04,708061,3580650,MO-1595175,Alwyn H. Gentry & Nestor Jaramillo,57915,Pseudolmedia laevigata Trécul,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,250 m,12°50'S 069°17'W,-12.8333333,-69.2833333,549331200,"MO, USM",1989,"A. Gentry,","Tree No. 2307, 18.8 cm dbh, sterile.",Pseudolmedia,Pseudolmedia
2306,242,NA,C,NA,NA,Lauraceae,Ocotea bofo,394,394,1,TAM_04,54624,3580649,MO-444798,Alwyn H. Gentry & Nestor Jaramillo,57914,Ocotea bofo Kunth,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,250 m,12°50'S 069°17'W - 12°50'S 069°17'W,-12.83333,-69.28333,549331200,MO,1989,"A. Gentry,","Tree No. 2306, 16 cm dbh, sterile.",Ocotea,Ocotea
2249,250,NA,C,NA,NA,Sapotaceae,Pouteria reticulata,342,342,1,TAM_04,407825,3584588 & 3584589,MO-1965723 & MO-1965725,Alwyn H. Gentry & Nestor Jaramillo,57972,Pouteria caimito (Ruiz & Pav.) Radlk.,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549417600,MO,1989,"A. Gentry,","Tree No. 2249, 28 cm dbh, sterile.",Pouteria,Pouteria
2252,251,NA,C,NA,NA,Lecythidaceae,Bertholletia excelsa,1390,1390,1,TAM_04,299927,3580659,MO-1639589,Alwyn H. Gentry & Nestor Jaramillo,57926,Bertholletia excelsa Bonpl.,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,250 m,12°50'S 069°17'W,-12.8333333,-69.2833333,549331200,"MO, USM",NA,NA,"Tree No. 2252, 135 cm dbh, fruits brown.",Bertholletia,Bertholletia
2258,256,NA,C,NA,NA,Myristicaceae,Iryanthera laevis,233,233,1,TAM_04,762344,3470072,MO-1565055,Alwyn H. Gentry & Nestor Jaramillo,57993,Iryanthera juruensis Warb.,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549417600,MO,1988,"William A. Rodriguez (INPA),","Tree No. 2258, 16 cm dbh, flowers green, ridged bark.",Iryanthera,Iryanthera
2262,257,NA,C,NA,NA,Sapotaceae,Micropholis venulosa,316,316,1,TAM_04,407759,3470801,MO-1965349,Alwyn H. Gentry & Nestor Jaramillo,57943,Micropholis venulosa (Mart. & Eichler) Pierre,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549331200,MO,1987,"Al Gentry,","Tree No. 2262, 20 cm dbh, sterile.",Micropholis,Micropholis
2263,258,NA,C,NA,NA,Moraceae,Pseudolmedia macrophylla,342,342,1,TAM_04,711794,3469240,MO-1572012,Alwyn H. Gentry & Nestor Jaramillo,57940,Pseudolmedia macrophylla Trécul,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,250 m,12°50'S 069°17'W,-12.8333333,-69.2833333,549331200,"MO, USM",1997,"C.C. Berg (BG),","Tree No. 2263, 24 cm dbh, sterile, leaves bullate.",Pseudolmedia,Pseudolmedia
2260,261,NA,C,NA,NA,Ebenaceae,Diospyros melinonii,201,201,1,TAM_04,410724,NA,NA,Alwyn H. Gentry & Nestor Jaramillo,57942,Diospyros cf. mellinonii (Hiern) A.C. Sm.,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549331200,MO,1989,"A. Gentry,","Tree No. 2260, 19 cm dbh, flowers white.",Diospyros,Diospyros
2322,266,NA,C,NA,NA,Annonaceae,Xylopia trichostemon,265,265,1,TAM_04,757768,3580672,MO-1975077,Alwyn H. Gentry & Nestor Jaramillo,57939,Xylopia trichostemon R.E. Fr.,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549331200,MO,1989,"A. Gentry,","Tree No. 2322, 14 cm dbh, sterile.",Xylopia,Xylopia
2373,272,NA,C,NA,NA,Sabiaceae,Meliosma herbertii,268,268,1,TAM_04,174028,3473246,MO-1460066,Alwyn H. Gentry & Nestor Jaramillo,57921,Meliosma herbertii Rolfe,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,250 m,12°50'S 069°17'W,-12.8333333,-69.2833333,549331200,MO,2011,Eliana Ramos,"Tree No. 2373, 23 cm dbh, 30 m tall, flowers white.",Meliosma,Meliosma
2328,275,NA,C,NA,NA,Salicaceae,Laetia procera,257,257,1,TAM_04,256555,3468968,MO-1540278,Alwyn H. Gentry & Nestor Jaramillo,57941,Laetia procera (Poepp.) Eichler,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549331200,MO,1987,"R.E. Gereau,","Tree No. 2328, 17.2 cm dbh, sterile, rather inconspicuous trunk lenticels.",Laetia,Laetia
2330,278,NA,C,NA,NA,Humiriaceae,Sacoglottis mattogrossensis,161,161,1,TAM_04,114605,3580677,MO-1063865,Alwyn H. Gentry & Nestor Jaramillo,57949,Sacoglottis mattogrossensis Malme,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549331200,MO,1989,"A. Gentry,","Tree No. 2330, 10.8 cm dbh, sterile.",Sacoglottis,Sacoglottis
2331,279,NA,C,NA,NA,Moraceae,Brosimum lactescens,325,325,1,TAM_04,708181,3580665,MO-1414567,Alwyn H. Gentry & Nestor Jaramillo,57932,Brosimum lactescens (S. Moore) C.C. Berg,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549331200,MO,1989,"A. Gentry,","Tree No. 2331, 20.9 cm dbh, sterile.",Brosimum,Brosimum
2334,288,NA,C,NA,NA,Sapotaceae,Pouteria procera,189,189,1,TAM_04,418923,3580678,MO-1965808,Alwyn H. Gentry & Nestor Jaramillo,57950,Pouteria bilocularis (H.J.P. Winkl.) Baehni,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549331200,MO,2003,"A. Fuentes (USZ),","Tree No. 2334, 26.9 cm dbh, sterile, slight latex.",Pouteria,Pouteria
2394,293,NA,C,NA,NA,Chrysobalanaceae,Hirtella indet,264,264,1,TAM_04,69395,3471025,MO-1510117,Alwyn H. Gentry & Nestor Jaramillo,57951,Hirtella racemosa Lam. var. racemosa,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of Ríos La Torre and Tambopata. Swamp Tree Plot.,250 m,12°50'S 069°17'W,-12.83333,-69.28333,549331200,MO,1993,"A. Graff (MO),","Tree No. 2394, 23 cm dbh, 30 m tall, fruits green.",Hirtella,Hirtella
