Pv_tag,Tag,T1,T2,X,Y,Family,Species,DBH0,DBH1,F2,Plot,SpecimenID,*Accession Numbers,*Barcodes,CollectorString,CollectionNumber,*FullName,UpperName,LowerName,Locality,ElevationDisplay,*Coordinate Display,LatitudeDecimal,LongitudeDecimal,Date Display,*Institutions,DeterminationYear,DeterminationBy,Description,plot.genus,spec.genus
103,369,1974,4-Jan,20.5,102,Moraceae,Naucleopsis krukovii,396,396,1,MNU_01,711323,3183074,MO-2180203,Alwyn H. Gentry,43376,Naucleopsis glabra Spruce ex Pittier,Madre de Dios,Manu,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot.,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.86666,-71.36666,8/5/1983,MO,NA,NA,"Tree #103, 33.9 cm dbh, sterile, tannish yellow latex.",Naucleopsis,Naucleopsis
104,368,1974,4-Jan,21.5,101,Fabaceae,Swartzia myrtifolia,199,199,1,MNU_01,74812,3183073,MO-2180210,Alwyn H. Gentry,43377,Swartzia arborescens (Aubl.) Pittier,Madre de Dios,Manu,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot.,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.86666,-71.36666,8/5/1983,MO,1986,"A. Gentry,","Tree #104, 18.3 cm dbh, sterile.",Swartzia,Swartzia
153,408,1974,4-Feb,49,104,Malvaceae,Eriotheca globosa,364,364,1,MNU_01,188839,3183062,MO-1444232,Alwyn H. Gentry,43394,Eriotheca macrophylla (K. Schum.) A. Robyns,Madre de Dios,Manu,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.86666,-71.36666,8/6/1983,MO,1992,"R, Vasquez (AMAZ),","Tree #153, 20 cm dbh, sterile.",Eriotheca,Eriotheca
231,568,1974,5-Feb,48,139,Chrysobalanaceae,Parinari occidentalis,123,123,1,MNU_01,70199,3183053,MO-2180301,Alwyn H. Gentry,43403,Parinari occidentalis Prance,Madre de Dios,Manu,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.86666,-71.36666,8/6/1983,MO,1988,"G.T. Prance (NY),","Tree #231, 12.8 cm dbh, sterile.",Parinari,Parinari
569,194,1974,3-Apr,114,78,Annonaceae,Klarobelia candida,214,214,1,MNU_01,757210,3183047,MO-1976579,Alwyn H. Gentry,43409,Klarobelia candida Chatrou,Madre de Dios,NA,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.86666,-71.36666,8/6/1983,MO,1998,"L.W. Chatrou (U),","Tree #194, 10 cm dbh, sterile.",Klarobelia,Klarobelia
355,452,1974,3-Mar,66,89,Malvaceae,Theobroma speciosum,205,205,1,MNU_01,192242,3184599,MO-1100457,Alwyn H. Gentry,43435,Theobroma speciosum Willd. ex Spreng.,Madre de Dios,Manu,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.86666,-71.36666,8/8/1983,MO,2005,"Nisao Ogata (UCR),","Tree #355, 17.5 cm dbh, old cauliflorous inflorescence.",Theobroma,Theobroma
NA,268,new,2-Apr,98,58,Meliaceae,Trichilia poeppigii,223,223,1,MNU_01,128920,3184589,MO-1120738,Alwyn H. Gentry,43445,Trichilia maynasiana C. DC.,Madre de Dios,Manu,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.86666,-71.36666,8/8/1983,MO,1984,"A. Gentry,","Tree #268, 11.8 cm dbh, sterile.",Trichilia,Trichilia
301,249,1974,4-Apr,118.5,116,Sapotaceae,Pouteria torta,208,208,1,MNU_01,407375,3184581,MO-1994466,Alwyn H. Gentry,43453,Pouteria franciscana vel sp. aff. Baehni,Madre de Dios,NA,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.86666,-71.36666,8/8/1983,MO,1996,"O. Phillips,","Tree #249, 11 cm dbh, sterile, latex.",Pouteria,Pouteria
256,110,1974,2-Mar,73.5,60,Moraceae,Clarisia biflora,538,538,1,MNU_01,711667,3184579,MO-1408708,Alwyn H. Gentry,43455,Clarisia biflora Ruiz & Pav.,Madre de Dios,Manu,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.8666667,-71.3666667,8/8/1983,"MO, USM",1992,C.C.Berg,"Tree #256, 41.5 cm dbh, single fruit green.",Clarisia,Clarisia
304,174,1974,3-Apr,103,67.5,Fabaceae,Inga stipularis,294,294,1,MNU_01,75622,3184570,MO-1214820,Alwyn H. Gentry,43464,Inga capitata Desv.,Madre de Dios,Manu,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.86666,-71.36666,8/8/1983,MO,2005,"R. Garc<ed>a (MO),","Tree #304, 21.9 cm dbh, sterile, hard wood.",Inga,Inga
